"iso3","Mortality.reduction","Outcome","Risk","NCD4","self_harm","NCD.cause.grouping"
"CYP",0.0481132075471699,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CZE",0.0435486792452831,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"COD",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DNK",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DJI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DMA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DOM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ECU",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"EGY",0.0515094339622642,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"SLV",0.0384905660377359,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GNQ",0.0283018867924529,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ERI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"EST",0.0225283018867925,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ETH",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"FSM",0.0181132075471698,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"FJI",0.0200943396226415,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"FIN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"FRA",0.0150962264150944,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GAB",0.019245283018868,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GEO",0.0500428301886793,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DEU",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GHA",0.0628301886792454,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GRC",0.0214528301886793,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GRL",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"GRD",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GUM",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"GTM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GIN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GNB",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"GUY",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"HTI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"HND",0.0328301886792453,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"HUN",0.0270566037735849,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ISL",0.0203773584905661,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IND",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IDN",0.0840272292452832,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IRN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IRQ",0.0530745283018869,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"IRL",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ISR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ITA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"JAM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"JPN",0.105859631603774,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"JOR",0.0515094339622642,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KAZ",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KEN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KIR",0.0130188679245283,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KWT",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KGZ",0.0537735849056605,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LAO",0.0798113207547171,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LVA",0.0520754716981133,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LBN",0.0577358490566039,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LSO",0.00849056603773586,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LBR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LBY",0.0520754716981133,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LTU",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"LUX",0.0650943396226416,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MKD",0.0816421768867926,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MDG",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MWI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MYS",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MDV",0.0854949537735851,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MLI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MLT",0.0228679245283019,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MHL",0.019245283018868,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MRT",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MUS",0.0871461438679247,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MEX",0.019245283018868,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MDA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MNG",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MNE",0.0253584905660378,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MAR",0.0352449056603774,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MOZ",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"MMR",0.0792452830188681,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NAM",0.0226415094339623,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NPL",0.0845776259433964,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NLD",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"NZL",0.0845776259433964,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
