Super_region,Region,location_gbd,gbd2019,location_wb,location_who,location_ncdrisc,NCD_region,SDI,World_bank_2015,iso3,LocID,wb2021
High-income,Australasia,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,High-income Western countries,High SDI,HIC,NZL,554,HIC
Latin America and Caribbean,Central Latin America,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Latin America and Caribbean,Low-middle SDI,LMIC,NIC,558,LMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Niger,Niger,Niger,Niger,Niger,Sub-Saharan Africa,Low SDI,LIC,NER,562,LIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Sub-Saharan Africa,Low-middle SDI,LMIC,NGA,566,LMIC
"Southeast Asia, East Asia, and Oceania",East Asia,North Korea,Democratic People's Republic of Korea,"Korea, Dem. People�s Rep.",Dem. People's Republic of Korea,North Korea,East and South East Asia,Low-middle SDI,LIC,PRK,408,LIC
"Southeast Asia, East Asia, and Oceania",Oceania,Northern Mariana Islands,Northern Mariana Islands,Northern Mariana Islands,NA,NA,NA,High-middle SDI,HIC,MNP,580,HIC
High-income,Western Europe,Norway,Norway,Norway,Norway,Norway,High-income Western countries,High SDI,HIC,NOR,578,HIC
North Africa and Middle East,North Africa and Middle East,Oman,Oman,Oman,Oman,Oman,"Central Asia, Middle East and North Africa",Middle SDI,HIC,OMN,512,HIC
South Asia,South Asia,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,South Asia,Low-middle SDI,LMIC,PAK,586,LMIC
North Africa and Middle East,North Africa and Middle East,Palestine,Palestine,West Bank and Gaza,State of Palestine,Occupied Palestinian Territory,"Central Asia, Middle East and North Africa",Low SDI,LMIC,PSE,275,LMIC
Latin America and Caribbean,Central Latin America,Panama,Panama,Panama,Panama,Panama,Latin America and Caribbean,High-middle SDI,UMIC,PAN,591,UMIC
"Southeast Asia, East Asia, and Oceania",Oceania,Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea,Oceania,Low SDI,LMIC,PNG,598,LMIC
Latin America and Caribbean,Tropical Latin America,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Latin America and Caribbean,Middle SDI,UMIC,PRY,600,UMIC
Latin America and Caribbean,Andean Latin America,Peru,Peru,Peru,Peru,Peru,Latin America and Caribbean,Middle SDI,UMIC,PER,604,UMIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Philippines,Philippines,Philippines,Philippines,Philippines,East and South East Asia,Middle SDI,LMIC,PHL,608,LMIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Poland,Poland,Poland,Poland,Poland,Central and Eastern Europe,High SDI,HIC,POL,616,HIC
High-income,Western Europe,Portugal,Portugal,Portugal,Portugal,Portugal,High-income Western countries,High-middle SDI,HIC,PRT,620,HIC
Latin America and Caribbean,Caribbean,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Latin America and Caribbean,High SDI,HIC,PRI,630,HIC
