,iso3,country,region,salt policy,salt policy: product reform,salt policy: reg salt content,salt policy: public awareness pgm,salt policy: FOPL,salt policy: enforcement,prog7a,AreaName,NAintake,reformRRR,envRRR,foplRRR,mediaRRR,reduced,target,reduxadj,mort.redux,coverage,,
128,NOR,Norway,EUR,yes,yes,no,yes,yes,voluntary,fully achieved,Norway,4.36,0,0.07,0,0,0.3052,4.0548,0.3052,0.017275472,0.75,,
129,OMN,Oman,EMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Oman,4.34,0,0,0,0,0,4.34,0,0,1,,
130,PAK,Pakistan,EMR,no,no,no,no,no,voluntary,not achieved,Pakistan,4.8,0.15,0.07,0.1,0.05,1.555788,3.244212,1.555788,0.088063472,0,,
131,PSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
132,PAN,Panama,AMR,no,no,no,no,no,voluntary,not achieved,Panama,3.95,0.15,0.07,0.1,0.05,1.280283875,2.669716125,0.95,0.053773585,0,,
133,PNG,Papua New Guinea,WPR,no,no,no,no,no,voluntary,not achieved,Papua New Guinea,3.3,0.15,0.07,0.1,0.05,1.06960425,2.23039575,0.3,0.016981132,0,,
134,PRY,Paraguay,AMR,yes,no,yes,yes,no,voluntary,partially achieved,Paraguay,3.63,0.15,0,0.1,0,0.85305,2.77695,0.63,0.035660377,0.5,,
135,PER,Peru,AMR,yes,no,no,no,yes,mandatory,partially achieved,Peru,3.7,0.2,0.07,0,0.05,1.08484,2.61516,0.7,0.039622642,0.25,,
136,PHL,Philippines,WPR,no,no,no,no,no,voluntary,not achieved,Philippines,4.46,0.15,0.07,0.1,0.05,1.44558635,3.01441365,1.44558635,0.081825642,0,,
137,POL,Poland,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Poland,4.44,0,0,0,0,0,4.44,0,0,1,,
138,PRT,Portugal,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Portugal,4.03,0,0,0.1,0,0.403,3.627,0.403,0.022811321,0.75,,
139,PRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
140,QAT,Qatar,EMR,yes,yes,yes,yes,no,mandatory,partially achieved,Qatar,4.74,0,0,0.1,0,0.474,4.266,0.474,0.026830189,0.75,,
141,ROU,Romania,EUR,no,no,no,no,no,voluntary,not achieved,Romania,4.58,0.15,0.07,0.1,0.05,1.48448105,3.09551895,1.48448105,0.084027229,0,,
142,RUS,Russian Federation,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Russian Federation,3.88,0,0,0.1,0,0.388,3.492,0.388,0.021962264,0.75,,
143,RWA,Rwanda,AFR,no,no,no,no,no,voluntary,not achieved,Rwanda,2.73,0.15,0.07,0.1,0.05,0.884854425,1.845145575,0,0,0,,
144,LCA,Saint Lucia,AMR,no,no,no,no,no,voluntary,not achieved,Saint Lucia,2.71,0.15,0.07,0.1,0.05,0.878371975,1.831628025,0,0,0,,
145,VCT,Saint Vincent and the Grenadines,AMR,yes,no,yes,yes,no,voluntary,partially achieved,St Vincent and the Grenadines,2.7,0.15,0,0.1,0,0.6345,2.0655,0,0,0.5,,
146,WSM,Samoa,WPR,yes,no,no,yes,no,voluntary,partially achieved,Samoa,2.18,0.15,0.07,0.1,0,0.629039,1.550961,0,0,0.25,,
147,STP,Sao Tome and Principe,AFR,no,no,no,no,no,voluntary,not achieved,Sao Tome and Principe,2.85,0.15,0.07,0.1,0.05,0.923749125,1.926250875,0,0,0,,
148,SAU,Saudi Arabia,EMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Saudi Arabia,4.37,0,0,0,0,0,4.37,0,0,1,,
149,SEN,Senegal,AFR,no,no,no,no,no,voluntary,not achieved,Senegal,2.8,0.15,0.07,0.1,0.05,0.907543,1.892457,0,0,0,,
