"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"160","Nepal","LIC","South Asia","NPL","South Asia","LIC","Baseline",86064832.4940569,89304896.4339401,92612666.7251112,95378887.7027078,98115265.6479813,100824950.139489,103512529.809829,106202785.814687,772016814.767803
"161","Nicaragua","LMIC","Latin America and Caribbean","NIC","Latin America and Caribbean","LMIC","Adjusted",117082040.515168,126084023.132897,135694648.39359,145840822.041866,156482922.871328,167636513.78126,179311228.770365,191516795.303011,1219648994.80948
"162","Nicaragua","LMIC","Latin America and Caribbean","NIC","Latin America and Caribbean","LMIC","Baseline",111908373.613251,115311539.118905,118834264.094356,122361704.744378,125970550.910856,129663638.92117,133440817.198142,137302385.659671,994793274.260729
"163","Niger","LIC","Sub-Saharan Africa","NER","Sub-Saharan Africa","LIC","Adjusted",19493238.2212723,24273546.4278704,29400062.1299651,34937469.6512613,40865327.5585368,47200934.8009044,53960212.8035072,61160766.3134429,311291557.90676
"164","Niger","LIC","Sub-Saharan Africa","NER","Sub-Saharan Africa","LIC","Baseline",15571531.5102683,16142363.3544111,16735270.3365119,17359551.204793,18006631.4802702,18677694.3472797,19373818.8204459,20097117.0119068,141963978.065887
"165","Nigeria","LMIC","Sub-Saharan Africa","NGA","Sub-Saharan Africa","LMIC","Adjusted",849803526.050215,893483107.483977,938947624.861419,990562476.657317,1043984395.50072,1099168558.77508,1156022446.01169,1214428778.77318,8186400914.11361
"166","Nigeria","LMIC","Sub-Saharan Africa","NGA","Sub-Saharan Africa","LMIC","Baseline",830281194.126311,853291713.627243,876537469.810591,903476779.130512,930611456.726195,957989965.2092,985668372.909725,1013745609.28284,7351602560.82262
"167","North Korea","LIC","East and South East Asia","PRK","East and South East Asia","LIC","Adjusted",168173929.611723,170941298.334211,173679529.559976,176827878.16543,179828087.811195,182723974.404754,185567965.910534,188395765.775524,1426138429.57335
"168","North Korea","LIC","East and South East Asia","PRK","East and South East Asia","LIC","Baseline",168159954.169112,170927222.454887,173665352.154869,176813598.1983,179813707.488383,182709495.728656,185553390.606624,188381095.319057,1426023816.11989
"169","Pakistan","LMIC","South Asia","PAK","South Asia","LMIC","Adjusted",1666495536.7293,1838158397.13999,2020716123.25838,2218493026.18838,2425879969.29008,2643554498.34499,2872688985.55943,3114167214.71747,18800153751.228
